author_name,author_id,gender,affiliation,seniority,nb_publi,pub_rate,first_author_por,avg_coauthor
Ye Wu,3813,,,20,84,4.2,35,4.0
Xin-Shun Xu,3814,,,8,40,5.0,15,4.6
Vincent W. Zheng,3815,male,,12,69,5.75,22,4.7
Hongxia Yang,3816,,,24,30,1.25,33,4.5
Jing Ying,3817,,,27,30,1.11,0,4.17
Yueguo Chen,3818,,,12,47,3.92,23,5.0
Xiaoyong Du,3819,,,24,257,10.71,5,4.45
Chuanfei Xu,3820,,,10,14,1.4,64,4.57
Xiao Lin,3821,,Tsinghua University Institute of Interdisciplinary Information Sciences Beijing China,5,14,2.8,56,4.5
Min Zhang,3822,,,23,387,16.83,32,4.35
Peilin Zhao,3823,,,10,109,10.9,17,4.47
Hongshen Chen,3824,,,5,9,1.8,56,5.11
Zhaochun Ren,3825,male, Shandong University China,8,54,6.75,17,5.17
Ning Su,3826,,,13,25,1.92,52,3.44
Zhao Li,3827,,,24,186,7.75,39,4.32
Frank E. Pollick,3828,male,,27,37,1.37,22,3.92
Branislav Kveton,3829,male,,16,100,6.25,36,4.38
Daniel Agun,3830,male,,4,5,1.25,40,4.6
Jinjin Shao,3831,,,6,4,0.67,25,4.25
Shiyu Ji,3832,,,7,27,3.86,67,3.37
Stefano Tessaro,3833,male,,14,97,6.93,6,3.11
Shangsong Liang,3834,,,10,35,3.5,49,3.89
Nir Grinberg,3835,male,,6,6,1.0,67,4.5
Kijung Shin,3836,,,5,28,5.6,71,3.96
Yuchen Liu,3837,,,8,23,2.88,43,5.13
Bo Zhao,3838,male,,15,191,12.73,42,4.5
Parikshit Sondhi,3839,,WalmartLabs,12,22,1.83,50,4.05
Mohit Sharma,3840,,,11,19,1.73,26,4.63
Yusan Lin,3841,,,4,6,1.5,83,3.17
Peifeng Yin,3842,,,9,27,3.0,48,4.44
Hongwei Wang,3843,,Shanghai Jiao Tong University Department of Computer Science and Engineering China,3,14,4.67,79,5.64
Hongchang Gao,3844,male,,4,13,3.25,85,4.0
Deguang Kong,3845,male,Yahoo San Francisco USA,12,41,3.42,61,3.66
Xiao Bai,3846,female,Yahoo Labs CA USA,10,24,2.4,57,3.96
Navneet Potti,3847,,University of Wisconsin Madison WI USA,4,6,1.5,33,4.67
Sandeep Tata,3848,male,,16,32,2.0,41,4.0
David G. Andersen,3849,male,Carnegie Mellon University,20,115,5.75,16,5.15
Qiang Fu,3850,,,19,235,12.37,27,4.39
Sameh Elnikety,3851,female,,16,61,3.81,20,4.28
Yuxiong He,3852,,,15,74,4.93,16,4.51
Washington Luiz,3853,,,1,4,4.0,25,7.75
Felipe Viegas,3854,male,,7,12,1.71,42,7.33
Fernando Mourao,3855,male,,13,46,3.54,15,5.76
Thiago Salles,3856,,,10,26,2.6,31,6.38
Marcos Andre Goncalves,3857,male,University Minas Gerais Brazil,21,282,13.43,6,4.98
Leonardo C. da Rocha,3858,male,Federal University of São João del-Rei MG Brazil,16,64,4.0,14,6.23
Wei Lin,3859,,,28,140,5.0,28,4.56
Bo Wu,3860,male,,27,90,3.33,30,4.31
Kaipeng Liu,3861,,,13,9,0.69,56,4.11
Minlie Huang,3862,,,15,112,7.47,12,4.35
Wenwu Ou,3863,,,2,18,9.0,0,5.89
Magdalena Balazinska,3864,female,University of Washington Seattle Washington USA,20,133,6.65,19,5.38
Nodira Khoussainova,3865,female,University of Washington Seattle Washington USA,13,18,1.38,50,4.67
Dan Suciu,3866,male,University of Washington Seattle Washington USA,26,343,13.19,16,3.5
Zhenjie Zhang,3867,male,University of California San Diego USA,14,105,7.5,12,4.97
Beng Chin Ooi,3868,male,National University of Singapore (NUS),32,348,10.88,11,4.52
Anthony K. H. Tung,3869,male,National University of Singapore (NUS),21,144,6.86,9,4.28
Zhiping Zeng,3870,,,13,11,0.85,82,4.0
Steven Whang,3871,male,Korea Advanced Institute of Science and Technology (KAIST) Korea,13,29,2.23,45,4.45
Erik Vee,3872,male,,19,45,2.37,11,4.44
Ramana Yerneni,3873,male,Stanford University USA,30,15,0.5,27,4.4
Yongluan Zhou,3874,,University of Copenhagen Denmark,16,67,4.19,25,3.78
Ali Salehi,3875,male,,13,15,1.15,20,4.53
Michael Benedikt,3876,male,University of Oxford UK,23,149,6.48,79,2.97
James Cheney,3877,male,University of Edinburgh UK,19,144,7.58,51,2.74
Rimma V. Nehme,3878,female,,13,29,2.23,45,3.86
Ashwin Lall,3879,,,13,32,2.46,16,4.03
Danupon Nanongkai,3880,,,15,92,6.13,16,3.47
Jun (Jim) Xu,3881,male,Georgia Institute of Technology Atlanta GA USA,21,107,5.1,14,4.48
Suman Nath,3882,female,,18,90,5.0,23,4.2
Feng Zhao,3883,,Microsoft Research Redmond WA USA,27,96,3.56,11,4.64
Tianyi Wu,3884,,,14,20,1.43,55,4.9
Nikos Sarkas,3885,male,,14,13,0.93,38,4.15
Bin Liu,3886,male,NEC Labs America,15,12,0.8,57,4.92
H. V. Jagadish,3887,male,University of Michigan Ann Arbor USA,35,333,9.51,27,3.8
Hazem Elmeleegy,3888,male,,15,20,1.33,50,4.5
Ahmed K. Elmagarmid,3889,male,Purdue University West Lafayette USA,34,213,6.26,16,4.33
Walid G. Aref,3890,male,Purdue University West Lafayette USA,29,217,7.48,17,3.99
Willy Zwaenepoel,3891,male,Swiss Federal Institute of Technology in Lausanne Switzerland,36,156,4.33,5,3.53
Erik Buchmann,3892,male,,17,64,3.76,33,3.41
Klemens Bohm,3893,male,Karlsruhe Institute of Technology IPD Germany,26,220,8.46,10,3.47
Jianzhong Li,3894,,,33,446,13.52,9,3.89
Hong Gao,3895,,,26,277,10.65,7,4.16
Arnab Nandi,3896,,The Ohio State University Columbus OH USA,14,67,4.79,28,3.4
Lucja Kot,3897,,Cornell University Ithaca USA,14,21,1.5,28,4.43
Christoph Koch,3898,male,EPFL DATA Laboratory Switzerland,22,185,8.41,26,3.28
Panagiotis Papapetrou,3899,male,,14,71,5.07,14,3.76
Vassilis Athitsos,3900,,University of Texas at Arlington USA,19,110,5.79,15,4.05
George Kollios,3901,male,Boston University USA,20,96,4.8,20,3.88
Sudipto Das,3902,,,12,39,3.25,41,3.72
Shyam Antony,3903,male,,15,8,0.53,50,3.62
Rene Muller,3904,male,ETH Zurich Switzerland,17,32,1.88,41,6.09
Jens Teubner,3905,male,,16,76,4.75,21,3.83
Gustavo Alonso,3906,male,ETH Zürich Switzerland,25,251,10.04,23,3.35
Badrish Chandramouli,3907,,,14,50,3.57,60,4.5
Jonathan Goldstein,3908,male,Microsoft Research,22,42,1.91,14,4.4
David Maier,3909,male,Portland State University OR USA,42,274,6.52,28,4.31
Martin Hentschel,3910,male,Microsoft Bing,10,12,1.2,25,4.92
David B. Lomet,3911,male,Microsoft Research,46,242,5.26,77,2.02
Mohamed F. Mokbel,3912,male,University of Minnesota USA,18,215,11.94,19,3.7
George Candea,3913,male,Swiss Federal Institute of Technology in Lausanne Switzerland,18,79,4.39,28,3.25
Radek Vingralek,3914,male,,26,33,1.27,33,3.85
Bogdan Cautis,3915,male,Télécom ParisTech Paris France,15,49,3.27,31,3.88
Alin Deutsch,3916,male,University of California San Diego USA,24,94,3.92,46,3.63
Nicola Onose,3917,female,University of California Irvine USA,15,23,1.53,13,7.0
Vasilis Vassalos,3918,male,Athens University of Economics and Business Greece,22,72,3.27,8,3.74
Ziyang Liu,3919,,Arizona State University Tempe Arizona USA,12,50,4.17,64,3.72
Peng Sun,3920,,,17,154,9.06,48,4.34
Yi Chen,3921,female,Arizona State University USA,17,122,7.18,31,3.85
Thomas Kabisch,3922,male,,16,8,0.5,75,3.12
Eduard Constantin Dragut,3923,male,Temple University Philadelphia PA USA,15,37,2.47,41,4.03
Clement T. Yu,3924,male,University of Illinois at Chicago USA,46,237,5.15,24,3.57
Dingming Wu,3925,,Shenzhen University China,10,29,2.9,34,3.79
A. Prasad Sistla,3926,,University of Illinois at Chicago USA,37,131,3.54,44,2.98
Weiyi Meng,3927,,Binghamton University Vestal NY USA,30,148,4.93,15,4.0
Ramesh K. Sitaraman,3928,male,University of Massachusetts Amherst USA,31,105,3.39,4,3.75
Yanlei Diao,3929,,University of Massachusetts Amherst USA,19,67,3.53,34,3.96
Rubao Lee,3930,,,12,39,3.25,18,5.69
Xiaoning Ding,3931,,,14,51,3.64,31,4.8
Feng Chen,3932,,Louisiana State University LA USA,14,25,1.79,44,4.28
Thomas Willhalm,3933,male,,22,34,1.55,12,4.06
Hasso Plattner,3934,male,Hasso Plattner Institute for IT Systems Engineering Potsdam,38,113,2.97,10,4.58
Alexander Zeier,3935,male,Hasso Plattner Institute Potsdam Germany,20,66,3.3,0,4.62
Jan Schaffner,3936,male,Hasso Plattner Institute Potsdam Germany,13,13,1.0,62,4.69
Wenfei Fan,3937,,,21,176,8.38,56,3.59
Xibei Jia,3938,,,15,13,0.87,8,3.77
Chris Jermaine,3939,male,Rice University Houston USA,20,92,4.6,22,3.49
Florin Rusu,3940,male,,13,45,3.46,27,3.09
Fei Xu,3941,,,16,184,11.5,30,4.24
Edith Cohen,3942,female,Google Research Mountain View CA USA,30,167,5.57,86,2.7
Nick G. Duffield,3943,male,,25,137,5.48,42,3.81
Haim Kaplan,3944,male,Tel Aviv University School of Computer Science,26,309,11.88,30,3.53
Sai Wu,3945,male,Zhejiang University College of Computer Science and Technology Hangzhou China,15,61,4.07,28,4.79
Shouxu Jiang,3946,,,11,23,2.09,0,4.09
Kian-Lee Tan,3947,male,National University of Singapore (NUS),29,420,14.48,12,3.78
Alan Fekete,3948,male,University of Sydney Australia,33,170,5.15,35,3.58
Ryan Johnson,3949,male,LogicBlox Atlanta GA USA,14,42,3.0,38,4.36
Ippokratis Pandis,3950,male,Carnegie Mellon University Pittsburgh USA,17,63,3.71,8,5.27
Anastasia Ailamaki,3951,female,Swiss Federal Institute of Technology in Lausanne Switzerland,28,235,8.39,17,4.77
Russell Sears,3952,male,,13,27,2.08,30,7.37
Jian Li,3953,,Tsinghua University Institute for Interdisciplinary Information Sciences (IIIS) Beijing China,14,80,5.71,31,3.67
Barna Saha,3954,male,,13,71,5.46,24,3.21
Amol Deshpande,3955,,University of California Berkeley USA,19,147,7.74,24,3.47
Arvind Arasu,3956,male,Microsoft Research,18,44,2.44,84,4.77
Raghav Kaushik,3957,,Microsoft Research,19,60,3.16,22,4.02
Antonios Deligiannakis,3958,male,University of Maryland College Park USA,17,61,3.59,31,4.16
Minos N. Garofalakis,3959,,Technical University of Crete School of Electronic and Computer Engineering Chania Greece,24,175,7.29,33,3.56
Andrew McGregor,3960,male,University of Massachusetts Amherst MA USA,15,115,7.67,26,3.4
Laure Berti-Equille,3961,female,,22,88,4.0,47,3.31
Lukasz Golab,3962,male,University of Waterloo Canada,16,96,6,38,3.59
Howard J. Karloff,3963,male,AT&T Inc,33,105,3.18,27,3.44
Flip Korn,3964,male,,23,64,2.78,27,4.33
Avishek Saha,3965,,,12,26,2.17,31,5.12
Arturas Mazeika,3966,male,Free University of Bozen-Bolzano Italy,16,20,1.25,35,3.45
Marc Spaniol,3967,male,Université de Caen Basse-Normandie France,17,67,3.94,30,3.91
George Beskales,3968,male,,13,14,1.08,79,4.29
Mohamed A. Soliman,3969,male,University of Waterloo,14,27,1.93,48,3.96
Ihab F. Ilyas,3970,male,University of Waterloo Canada,18,114,6.33,21,4.6
Shai Ben-David,3971,male,School of Computer Science University of Waterloo,33,142,4.3,61,2.77
Denis Mindolin,3972,male,,11,7,0.64,86,2.29
Jan Chomicki,3973,male,University at Buffalo USA,34,123,3.62,59,2.61
Min-Soo Kim,3974,,Daegu Gyeongbuk Institute of Science & Technology DGIST,14,36,2.57,22,5.44
Xiaoyan Yang,3975,,,14,38,2.71,32,5.21
Cecilia M. Procopiuc,3976,female,AT&T Inc,25,42,1.68,24,3.45
Hongrae Lee,3977,,,12,23,1.92,22,5.35
Adam Silberstein,3978,male,Yahoo Research,15,35,2.33,40,5.4
Brian F. Cooper,3979,male,,19,55,2.89,51,4.15
Rodrigo Fonseca,3980,male,Brown University USA,21,70,3.33,16,4.81
Shirish Tatikonda,3981,male,Target California USA,14,29,2.07,24,5.14
Philipp Unterbrunner,3982,male,,10,6,0.6,33,7.17
Georgios Giannikis,3983,male,,10,11,1.1,45,6.27
Dietmar Fauser,3984,male,,10,2,0.2,0,5.5
Yang Zhou,3985,,,14,207,14.79,31,5.13
Mohammad Al Hasan,3986,male,,14,86,6.14,21,3.31
Chen Chen,3987,,University of Illinois at Urbana-Champaign Urbana IL USA,14,13,0.93,54,4.85
Ashish Chawla,3988,male,,14,5,0.36,20,4.4
Michaela Gotz,3989,female,Cornell University Ithaca USA,12,11,0.92,64,3.45
HweeHwa Pang,3990,,,28,74,2.64,32,3.19
Jilian Zhang,3991,male,Guangzhou China,14,36,2.57,17,4.08
Kyriakos Mouratidis,3992,male,,15,64,4.27,44,3.03
Xiaokui Xiao,3993,male,Nanyang Technological University Singapore,15,137,9.13,15,4.32
Yufei Tao,3994,male,Chinese University of Hong Kong,18,190,10.56,41,3.24
Ira Assent,3995,female,Aarhus University Denmark,14,91,6.5,35,3.75
Marc Wichterich,3996,male,,13,13,1.0,46,3.38
Ralph Krieger,3997,male,,17,20,1.18,5,4.3
Hardy Kremer,3998,male,,10,25,2.5,32,4.48
Thomas Seidl,3999,male,Ludwig Maximilians University of Munich Institute for Computer Science,26,299,11.5,7,3.97
Dimitris Tsirogiannis,4000,male,,13,11,0.85,36,7.27
Sudipto Guha,4001,,University of Pennsylvania Philadelphia PA USA,23,157,6.83,56,3.2
Yan Xie,4002,male,,16,29,1.81,34,4.86
Di Yang,4003,female,,14,67,4.79,43,4.18
Matthew O. Ward,4004,male,,37,102,2.76,14,3.39
Lei Zou,4005,male,Peking University Institute of Computer Science and Technology (ICST) Beijing China,13,103,7.92,17,4.41
M. Tamer Ozsu,4006,,University of Waterloo David R. Cheriton School of Computer Science Canada,39,263,6.74,28,3.13
Qian Wan,4007,,,10,20,2.0,40,3.65
Raymond Chi-Wing Wong,4008,male,Hong Kong University of Science and Technology,16,112,7.0,24,3.84
Yu Peng,4009,,,16,117,7.31,31,4.61
Kamil Bajda-Pawlikowski,4010,male,,10,3,0.3,33,4.67
Daniel J. Abadi,4011,male,Yale University New Haven Connecticut USA,17,69,4.06,41,5.16
Alexander Rasin,4012,male,DePaul University School of Computing Chicago IL USA,16,39,2.44,5,6.67
Avi Silberschatz,4013,male,Yale University New Haven Connecticut USA,43,228,5.3,19,3.6
Jeffrey F. Naughton,4014,male,University of Wisconsin Madison WI USA,33,221,6.7,11,4.51
Ting Yu,4015,,North Carolina State University Raleigh USA,24,217,9.04,25,3.64
Qing Zhang,4016,,,31,235,7.58,41,4.15
Michael Meier,4017,male,University of Freiburg Department of Computer Science,11,14,1.27,71,2.71
Michael Schmidt,4018,male,metaphacts GmbH Walldorf,12,43,3.58,28,6.19
Georg Lausen,4019,male,University of Freiburg Germany,38,158,4.16,27,3.04
Guido Moerkotte,4020,male,University of Mannheim Germany,31,135,4.35,14,2.89
Thomas Neumann,4021,male,TU Munich Faculty of Computer Science Germany,16,163,10.19,21,4.1
Vivek R. Narasayya,4022,male,Microsoft Research,25,80,3.2,7,3.94
Ravishankar Ramamurthy,4023,,,19,39,2.05,8,4.9
Balder ten Cate,4024,,University of California Santa Cruz USA,18,100,5.56,57,2.88
Laura Chiticariu,4025,female,University of California Santa Cruz USA,15,41,2.73,27,5.61
Phokion G. Kolaitis,4026,,University of California Santa Cruz USA,40,193,4.83,32,2.78
Wang Chiew Tan,4027,,University of California Santa Cruz USA,23,115,5.0,13,4.1
Cristian Riveros,4028,male,,11,34,3.09,0,3.26
James F. Terwilliger,4029,male,,13,28,2.15,43,4.29
Sergey Melnik,4030,male,Google Kirkland WA USA,22,46,2.09,46,4.74
Leong Hou U,4031,,University of Macau,15,53,3.53,28,3.91
Takeshi Mishima,4032,male,,23,13,0.57,23,4.0
Michael J. Cafarella,4033,male,University of Michigan Ann Arbor USA,15,73,4.87,25,4.05
Vadim Savenkov,4034,male,,11,34,3.09,12,3.56
Ada Wai-Chee Fu,4035,female,,30,162,5.4,11,3.69
Lian Liu,4036,,,12,25,2.08,28,4.0
Muhammad Aamir Cheema,4037,male,Monash University Australia,12,74,6.17,22,3.91
Ying Zhang,4038,,University of Technology Sydney School of Software Centre for Artificial Intelligence NSW Australia,13,112,8.62,12,4.74
Wenjie Zhang,4039,female,University of New South Wales Australia,16,208,13,25,4.55
Wai Kit Wong,4040,,,13,26,2.0,73,4.04
David Wai-Lok Cheung,4041,male,University of Hong Kong,34,180,5.29,16,4.14
Barzan Mozafari,4042,,,13,53,4.08,36,3.72
Carlo Zaniolo,4043,male,University of California Los Angeles USA,42,288,6.86,20,2.97
Kostas Tzoumas,4044,male,,10,23,2.3,17,5.09
Man Lung Yiu,4045,,,16,121,7.56,26,3.68
Meihui Zhang,4046,,,11,50,4.55,10,6.02
Su Chen,4047,,,13,35,2.69,60,4.57
Jagan Sankaranarayanan,4048,,,16,51,3.19,33,3.73
Hanan Samet,4049,female,University of Maryland College Park USA,44,307,6.98,33,2.61
Houman Alborzi,4050,,,22,13,0.59,38,5.92
Hideaki Kimura,4051,male,,21,43,2.05,40,4.28
George Huo,4052,male,,13,3,0.23,0,4.67
Stanley B. Zdonik,4053,male,Brown University Providence USA,39,177,4.54,11,4.65
Karl Schnaitter,4054,male,,13,16,1.23,62,4.75
Vamsidhar Thummala,4055,,,14,7,0.5,28,3.14
Shivnath Babu,4056,,Duke University Durham USA,18,100,5.56,23,3.58
Marcos Antonio Vaz Salles,4057,male,University of Copenhagen (DIKU) Copenhagen Denmark,16,35,2.19,14,4.06
Tuan Cao,4058,male,,11,11,1.0,18,6.27
Benjamin Sowell,4059,male,Cornell University Ithaca USA,12,13,1.08,38,5.92
Walker M. White,4060,male,Cornell University Ithaca USA,17,28,1.65,21,5.18
Fei Chiang,4061,female,McMaster University Canada,12,29,2.42,34,3.69
Renee J. Miller,4062,female,University of Toronto Canada,26,136,5.23,16,3.91
Hongfei Guo,4063,,,17,10,0.59,40,4.2
Jennifer L. Beckmann,4064,female,University of Wisconsin USA,18,4,0.22,50,3.5
Amr El-Helw,4065,male,,12,12,1.0,50,7.67
Calisto Zuzarte,4066,male,,18,66,3.67,3,4.52
Mustafa Canim,4067,male,,12,24,2.0,38,4.67
Bishwaranjan Bhattacharjee,4068,,,16,35,2.19,34,5.77
George A. Mihaila,4069,male,Megagon Labs,23,45,1.96,18,4.33
Christian A. Lang,4070,male,IBM Research,18,31,1.72,23,4.52
Kenneth A. Ross,4071,male,Columbia University New York City USA,31,166,5.35,43,3.27
Manish Bhide,4072,male,,17,25,1.47,52,4.36
Manoj K. Agarwal,4073,male,,16,21,1.31,76,3.48
Sriram Padmanabhan,4074,,IBM Research,29,43,1.48,9,4.16
Girish Venkatachaliah,4075,,,10,4,0.4,25,4.75
Vinayak R. Borkar,4076,,,19,42,2.21,38,6.86
Matthias Brantner,4077,male,,14,15,1.07,60,4.0
Peter M. Fischer,4078,male,University of Augsburg Department of Computer Science Germany,17,50,2.94,30,4.34
David A. Graf,4079,male,,12,3,0.25,0,6.33
Ning Zhang,4080,,Facebook,18,13,0.72,54,4.92
Nipun Agarwal,4081,,,25,12,0.48,25,6.42
Sam Idicula,4082,male,,10,5,0.5,0,9.4
Balasubramanyam Sthanikam,4083,,,10,2,0.2,0,5.0
Srikanth Bellamkonda,4084,,,16,9,0.56,22,7.33
Rafi Ahmed,4085,male,,32,21,0.66,38,4.14
Andrew Witkowski,4086,male,,35,17,0.49,35,5.88
Mohamed Zait,4087,male,,27,25,0.93,20,5.48
Changkyu Kim,4088,,,17,45,2.65,20,6.76
Eric Sedlar,4089,male,,15,13,0.87,23,6.69
Jatin Chhugani,4090,,,19,37,1.95,22,7.97
Tim Kaldewey,4091,male,,15,17,1.13,24,5.18
Anthony D. Nguyen,4092,male,,14,19,1.36,5,7.63
Victor W. Lee,4093,male,,16,30,1.88,10,7.6
Nadathur Satish,4094,,,14,60,4.29,15,7.77
Pradeep Dubey,4095,male,,40,111,2.77,20,7.04
Pekka Kostamaa,4096,male,,27,12,0.44,0,3.5
John Cieslewicz,4097,male,,14,17,1.21,53,5.94
Alan Gates,4098,male,,10,6,0.6,67,7.5
Shubham Chopra,4099,,,10,5,0.5,0,3.6
Utkarsh Srivastava,4100,,,17,27,1.59,19,5.63
Biswanath Panda,4101,,Cornell University Ithaca USA,13,11,0.85,55,4.36
Thomas Legler,4102,male,,14,8,0.57,50,3.75
Wolfgang Lehner,4103,male,Dresden University of Technology Germany,23,441,19.17,9,4.04
Jens Kruger,4104,male,Hasso Plattner Institute Potsdam,11,36,3.27,22,5.86
Eric Simon,4105,male,INRIA France,35,86,2.46,17,3.37
Timothy Malkemus,4106,male,,23,12,0.52,8,4.75
Zoltan Toth,4107,,,10,4,0.4,0,6.25
Reza Sherkat,4108,male,,13,8,0.62,62,5.0
Jeffrey Cohen,4109,male,,10,3,0.3,67,7.67
Joseph M. Hellerstein,4110,male,UC Berkeley,27,233,8.63,21,4.98
Caleb Welton,4111,male,,10,5,0.5,0,8.8
Niloy Mukherjee,4112,,,19,19,1.0,53,7.26
Amit Ganesh,4113,male,,25,8,0.32,12,7.38
Sujatha Muthulingam,4114,,,11,5,0.45,0,11.6
Wei Zhang,4115,,Oracle Corporation Redwood City USA,11,3,0.27,0,7.67
Krishna Kunchithapadam,4116,,,25,7,0.28,28,6.0
Anand Rajaraman,4117,male,Stanford University USA,26,43,1.65,21,4.37
Karen Works,4118,female,,10,9,0.9,67,2.89
Jennie Rogers,4119,female,Northwestern University Evanston IL USA,12,28,2.33,32,6.61
Emad Soroush,4120,male,,12,12,1.0,57,4.75
Pavel Velikhov,4121,male,,21,12,0.57,0,6.42
Daniel L. Wang,4122,male,,16,14,0.88,36,4.5
David J. DeWitt,4123,male,University of Wisconsin-Madison Madison USA,46,203,4.41,22,4.11
Jignesh M. Patel,4124,male,University of Wisconsin Madison WI USA,25,146,5.84,10,3.97
Michael Stonebraker,4125,male,Massachusetts Institute of Technology Cambridge USA,47,361,7.68,47,4.29
Kuien Liu,4126,,,12,26,2.17,35,4.85
Ke Deng,4127,,,18,115,6.39,27,4.46
Zhiming Ding,4128,,,18,77,4.28,32,4.19
Romain Colle,4129,male,,11,5,0.45,20,9.2
Leonidas Galanis,4130,male,,18,11,0.61,36,8.45
Yujun Wang,4131,,,23,36,1.57,25,4.61
Supiti Buranawatanachoke,4132,,,11,5,0.45,0,9.2
Stratos Papadomanolakis,4133,male,,18,13,0.72,38,5.77
Nedyalko Borisov,4134,male,,10,12,1.2,67,3.92
Sandeep Uttamchandani,4135,male,,16,27,1.69,22,5.26
Aameek Singh,4136,,,17,47,2.76,49,4.6
Melanie Herschel,4137,female,University of Paris Sud France,15,51,3.4,43,3.1
Mauricio A. Hernandez,4138,male,,25,39,1.56,23,6.44
Eugene Wu,4139,male,Columbia University New York City USA,15,75,5.0,20,4.09
Mohamed H. Ali,4140,male,,15,54,3.6,39,4.74
Ciprian Gerea,4141,male,,10,3,0.3,0,15.0
Balan Sethu Raman,4142,,,10,7,0.7,14,7.43
Beysim Sezgin,4143,,,15,5,0.33,0,17.6
Ping Wang,4144,,,41,527,12.85,34,4.01
Peter Zabback,4145,male,,29,25,0.86,28,4.12
Roman Schindlauer,4146,male,,15,20,1.33,5,5.05
Torsten Grabs,4147,male,,19,21,1.11,56,4.67
Ivo Santos,4148,male,,10,7,0.7,14,8.57
Stefan Krompass,4149,male,Technical University Munich Germany,14,15,1.07,47,5.93
Harumi A. Kuno,4150,female,Hewlett Packard Labs Palo Alto,26,61,2.35,26,4.33
Kevin Wilkinson,4151,male,,37,57,1.54,21,4.46
Alfons Kemper,4152,male,TU Munich Department of Informatics,35,291,8.31,24,4.16
Yanif Ahmad,4153,,,17,29,1.71,55,4.79
Nicoleta Preda,4154,female,Versailles Saint-Quentin-en-Yvelines University France,16,25,1.56,12,4.24
Hanna Kopcke,4155,female,,15,11,0.73,73,2.73
Andreas Thor,4156,male,University of Applied Sciences for Telecommunications Leipzig Germany,15,62,4.13,31,3.71
Erhard Rahm,4157,male,Leipzig University Germany,34,257,7.56,24,3.08
Adrian Mocan,4158,male,,15,33,2.2,18,4.48
Giansalvatore Mecca,4159,,Università della Basilicata Italy,26,94,3.62,37,3.49
Salvatore Raunich,4160,male,,13,18,1.38,22,3.5
Marcello Buoncristiano,4161,male,,10,6,0.6,33,4.5
Cosmin Stroe,4162,male,,10,17,1.7,0,4.88
Reynold Xin,4163,male,,10,31,3.1,35,6.65
Feng Cao,4164,,,30,83,2.77,39,4.36
Michael N. Gubanov,4165,male,University of Texas at San Antonio,13,29,2.23,52,3.41
Hamid Pirahesh,4166,male,IBM Almaden Research Center San Jose USA,33,85,2.58,8,5.62
Julie Letchner,4167,female,,14,10,0.71,70,4.6
Christopher Re,4168,male,Stanford University Department of Computer Science,17,233,13.71,9,4.7
Matthai Philipose,4169,,Microsoft Research,23,78,3.39,5,4.59
Sivaramakrishnan Natarajan,4170,,,10,5,0.5,0,4.6
Susan B. Davidson,4171,female,University of Pennsylvania Philadelphia PA USA,35,138,3.94,32,4.17
Ninghui Li,4172,,Purdue University West Lafayette USA,20,192,9.6,28,3.74
Yintao Yu,4173,,,11,11,1.0,9,5.91
Ashish Thusoo,4174,male,,10,3,0.3,100,8.67
Joydeep Sen Sarma,4175,,,21,6,0.29,0,8.0
Namit Jain,4176,,,11,6,0.55,17,7.67
Zheng Shao,4177,,,15,13,0.87,15,5.62
Prasad Chakka,4178,male,,10,5,0.5,0,11.8
Suresh Anthony,4179,male,,10,3,0.3,0,8.67
Hao Liu,4180,,Stanford University CA USA,10,3,0.3,0,8.67
Raghotham Murthy,4181,,,12,7,0.58,43,6.0
Ramesh C. Jain,4182,male,University of California Irvine CA USA,48,443,9.23,26,3.01
Amarnath Gupta,4183,,San Diego Supercomputer Center USA,28,145,5.18,43,3.97
Emre Sarigol,4184,male,,10,9,0.9,78,4.11
Zhuowei Bao,4185,,,10,15,1.5,67,4.2
Sarah Cohen Boulakia,4186,female,University of Paris-Sud Laboratory for Computer Science (LRI) France,15,48,3.2,40,5.56
Tom Yam,4187,male,,10,2,0.2,0,3.5
Stefan Manegold,4188,male,National Research Institute for Mathematics and Computer Science Amsterdam Netherlands,22,92,4.18,23,4.54
Martin L. Kersten,4189,male,National Research Institute for Mathematics and Computer Science Amsterdam Netherlands,39,173,4.44,21,4.35
Jeffrey Heer,4190,male,University of Washington Seattle WA USA,18,122,6.78,28,3.57
Marios Hadjieleftheriou,4191,male,,18,65,3.61,34,4.23
Suresh Venkatasubramanian,4192,male,University of Utah School of Computing,30,142,4.73,9,3.72
Stavros Harizopoulos,4193,male,MIT Cambridge USA,20,35,1.75,46,4.34
Theodore Johnson,4194,male,AT&T Inc,33,127,3.85,49,2.91
Vladislav Shkapenyuk,4195,male,,17,27,1.59,7,4.22
Bettina Kemme,4196,female,McGill University Montreal Canada,22,117,5.32,25,3.23
Sharad Mehrotra,4197,male,University of California Irvine USA,29,256,8.83,11,4.08
Tristan Allard,4198,male,,11,14,1.27,71,4.57
Nicolas Anciaux,4199,male,,18,44,2.44,73,4.41
Luc Bouganim,4200,male,INRIA France,26,78,3.0,45,4.04
Yanli Guo,4201,,,12,13,1.08,23,4.46
Lionel Le Folgoc,4202,male,,9,4,0.44,25,5.75
Benjamin Nguyen,4203,male,,19,48,2.53,17,4.17
Philippe Pucheral,4204,male,Versailles Saint-Quentin-en-Yvelines University France,32,84,2.62,8,3.98
Indrajit Ray,4205,,Colorado State University USA,23,142,6.17,27,3.6
Indrakshi Ray,4206,,Colorado State University USA,24,188,7.83,22,3.38
Shaoyi Yin,4207,,,11,18,1.64,39,4.5
